company_id,company_name,period,period_date,revenue_mm,ebitda_mm,ebitda_margin_pct,scenario,data_type
PC001,SolarEdge Systems,Q1 2025,2025-01-01,59.5,15.9,26.7,Base,Forecast
PC001,SolarEdge Systems,Q2 2025,2025-04-01,61.3,16.4,26.7,Base,Forecast
PC001,SolarEdge Systems,Q3 2025,2025-07-01,63.1,16.8,26.7,Base,Forecast
PC001,SolarEdge Systems,Q4 2025,2025-10-01,65.0,17.3,26.7,Base,Forecast
PC001,SolarEdge Systems,Q1 2026,2026-01-01,67.0,17.9,26.7,Base,Forecast
PC001,SolarEdge Systems,Q2 2026,2026-04-01,69.0,18.4,26.7,Base,Forecast
PC001,SolarEdge Systems,Q3 2026,2026-07-01,71.1,19.0,26.7,Base,Forecast
PC001,SolarEdge Systems,Q4 2026,2026-10-01,73.2,19.5,26.7,Base,Forecast
PC001,SolarEdge Systems,Q1 2027,2027-01-01,75.4,20.1,26.7,Base,Forecast
PC001,SolarEdge Systems,Q2 2027,2027-04-01,77.7,20.7,26.7,Base,Forecast
PC001,SolarEdge Systems,Q3 2027,2027-07-01,80.0,21.4,26.7,Base,Forecast
PC001,SolarEdge Systems,Q4 2027,2027-10-01,82.4,22.0,26.7,Base,Forecast
PC001,SolarEdge Systems,Q1 2028,2028-01-01,84.9,22.7,26.7,Base,Forecast
PC001,SolarEdge Systems,Q2 2028,2028-04-01,87.4,23.3,26.7,Base,Forecast
PC001,SolarEdge Systems,Q3 2028,2028-07-01,90.1,24.0,26.7,Base,Forecast
PC001,SolarEdge Systems,Q4 2028,2028-10-01,92.8,24.8,26.7,Base,Forecast
PC002,WindFlow Energy,Q1 2025,2025-01-01,47.2,11.2,23.7,Base,Forecast
PC002,WindFlow Energy,Q2 2025,2025-04-01,48.6,11.5,23.7,Base,Forecast
PC002,WindFlow Energy,Q3 2025,2025-07-01,50.1,11.9,23.7,Base,Forecast
PC002,WindFlow Energy,Q4 2025,2025-10-01,51.6,12.2,23.7,Base,Forecast
PC002,WindFlow Energy,Q1 2026,2026-01-01,53.1,12.6,23.7,Base,Forecast
PC002,WindFlow Energy,Q2 2026,2026-04-01,54.7,13.0,23.7,Base,Forecast
PC002,WindFlow Energy,Q3 2026,2026-07-01,56.4,13.4,23.7,Base,Forecast
PC002,WindFlow Energy,Q4 2026,2026-10-01,58.1,13.8,23.7,Base,Forecast
PC002,WindFlow Energy,Q1 2027,2027-01-01,59.8,14.2,23.7,Base,Forecast
PC002,WindFlow Energy,Q2 2027,2027-04-01,61.6,14.6,23.7,Base,Forecast
PC002,WindFlow Energy,Q3 2027,2027-07-01,63.5,15.1,23.7,Base,Forecast
PC002,WindFlow Energy,Q4 2027,2027-10-01,65.4,15.5,23.7,Base,Forecast
PC002,WindFlow Energy,Q1 2028,2028-01-01,67.4,16.0,23.7,Base,Forecast
PC002,WindFlow Energy,Q2 2028,2028-04-01,69.4,16.5,23.7,Base,Forecast
PC002,WindFlow Energy,Q3 2028,2028-07-01,71.5,17.0,23.7,Base,Forecast
PC002,WindFlow Energy,Q4 2028,2028-10-01,73.6,17.5,23.7,Base,Forecast
PC003,GreenBuild Materials,Q1 2025,2025-01-01,57.1,14.6,25.6,Base,Forecast
PC003,GreenBuild Materials,Q2 2025,2025-04-01,58.8,15.1,25.6,Base,Forecast
PC003,GreenBuild Materials,Q3 2025,2025-07-01,60.6,15.5,25.6,Base,Forecast
PC003,GreenBuild Materials,Q4 2025,2025-10-01,62.4,16.0,25.6,Base,Forecast
PC003,GreenBuild Materials,Q1 2026,2026-01-01,64.3,16.5,25.6,Base,Forecast
PC003,GreenBuild Materials,Q2 2026,2026-04-01,66.2,17.0,25.6,Base,Forecast
PC003,GreenBuild Materials,Q3 2026,2026-07-01,68.2,17.5,25.6,Base,Forecast
PC003,GreenBuild Materials,Q4 2026,2026-10-01,70.3,18.0,25.6,Base,Forecast
PC003,GreenBuild Materials,Q1 2027,2027-01-01,72.4,18.5,25.6,Base,Forecast
PC003,GreenBuild Materials,Q2 2027,2027-04-01,74.6,19.1,25.6,Base,Forecast
PC003,GreenBuild Materials,Q3 2027,2027-07-01,76.8,19.7,25.6,Base,Forecast
PC003,GreenBuild Materials,Q4 2027,2027-10-01,79.1,20.3,25.6,Base,Forecast
PC003,GreenBuild Materials,Q1 2028,2028-01-01,81.5,20.9,25.6,Base,Forecast
PC003,GreenBuild Materials,Q2 2028,2028-04-01,83.9,21.5,25.6,Base,Forecast
PC003,GreenBuild Materials,Q3 2028,2028-07-01,86.4,22.1,25.6,Base,Forecast
PC003,GreenBuild Materials,Q4 2028,2028-10-01,89.0,22.8,25.6,Base,Forecast
PC004,AquaPure Technologies,Q1 2025,2025-01-01,37.0,9.9,26.7,Base,Forecast
PC004,AquaPure Technologies,Q2 2025,2025-04-01,38.1,10.2,26.7,Base,Forecast
PC004,AquaPure Technologies,Q3 2025,2025-07-01,39.2,10.5,26.7,Base,Forecast
PC004,AquaPure Technologies,Q4 2025,2025-10-01,40.4,10.8,26.7,Base,Forecast
PC004,AquaPure Technologies,Q1 2026,2026-01-01,41.6,11.1,26.7,Base,Forecast
PC004,AquaPure Technologies,Q2 2026,2026-04-01,42.9,11.4,26.7,Base,Forecast
PC004,AquaPure Technologies,Q3 2026,2026-07-01,44.2,11.8,26.7,Base,Forecast
PC004,AquaPure Technologies,Q4 2026,2026-10-01,45.5,12.1,26.7,Base,Forecast
PC004,AquaPure Technologies,Q1 2027,2027-01-01,46.9,12.5,26.7,Base,Forecast
PC004,AquaPure Technologies,Q2 2027,2027-04-01,48.3,12.9,26.7,Base,Forecast
PC004,AquaPure Technologies,Q3 2027,2027-07-01,49.7,13.3,26.7,Base,Forecast
PC004,AquaPure Technologies,Q4 2027,2027-10-01,51.2,13.7,26.7,Base,Forecast
PC004,AquaPure Technologies,Q1 2028,2028-01-01,52.8,14.1,26.7,Base,Forecast
PC004,AquaPure Technologies,Q2 2028,2028-04-01,54.4,14.5,26.7,Base,Forecast
PC004,AquaPure Technologies,Q3 2028,2028-07-01,56.0,14.9,26.7,Base,Forecast
PC004,AquaPure Technologies,Q4 2028,2028-10-01,57.7,15.4,26.7,Base,Forecast
PC005,TerraFarm Ag,Q1 2025,2025-01-01,37.3,8.7,23.2,Base,Forecast
PC005,TerraFarm Ag,Q2 2025,2025-04-01,38.4,8.9,23.2,Base,Forecast
PC005,TerraFarm Ag,Q3 2025,2025-07-01,39.6,9.2,23.2,Base,Forecast
PC005,TerraFarm Ag,Q4 2025,2025-10-01,40.8,9.5,23.2,Base,Forecast
PC005,TerraFarm Ag,Q1 2026,2026-01-01,42.0,9.7,23.2,Base,Forecast
PC005,TerraFarm Ag,Q2 2026,2026-04-01,43.3,10.0,23.2,Base,Forecast
PC005,TerraFarm Ag,Q3 2026,2026-07-01,44.6,10.3,23.2,Base,Forecast
PC005,TerraFarm Ag,Q4 2026,2026-10-01,45.9,10.6,23.2,Base,Forecast
