company_id,company_name,period,period_date,revenue_mm,ebitda_mm,ebitda_margin_pct,capex_mm,net_debt_mm
PC001,SolarEdge Systems,Q1 2021,2021-01-01,45.32,12.09,26.7,6.64,23.55
PC001,SolarEdge Systems,Q2 2021,2021-04-01,46.69,12.45,26.7,4.24,16.19
PC001,SolarEdge Systems,Q3 2021,2021-07-01,45.52,12.14,26.7,6.4,21.86
PC001,SolarEdge Systems,Q4 2021,2021-10-01,47.39,12.64,26.7,3.86,28.01
PC001,SolarEdge Systems,Q1 2022,2022-01-01,49.95,13.32,26.7,4.74,17.71
PC001,SolarEdge Systems,Q2 2022,2022-04-01,49.33,13.16,26.7,5.0,22.57
PC001,SolarEdge Systems,Q3 2022,2022-07-01,49.98,13.33,26.7,5.02,24.17
PC001,SolarEdge Systems,Q4 2022,2022-10-01,49.14,13.1,26.7,4.94,20.14
PC001,SolarEdge Systems,Q1 2023,2023-01-01,49.9,13.31,26.7,6.73,17.96
PC001,SolarEdge Systems,Q2 2023,2023-04-01,50.97,13.59,26.7,6.19,16.0
PC001,SolarEdge Systems,Q3 2023,2023-07-01,52.55,14.01,26.7,4.83,16.79
PC001,SolarEdge Systems,Q4 2023,2023-10-01,56.01,14.94,26.7,8.27,30.39
PC001,SolarEdge Systems,Q1 2024,2024-01-01,56.01,14.94,26.7,4.86,28.3
PC001,SolarEdge Systems,Q2 2024,2024-04-01,56.79,15.14,26.7,5.03,25.47
PC001,SolarEdge Systems,Q3 2024,2024-07-01,55.23,14.73,26.7,7.93,20.86
PC002,WindFlow Energy,Q1 2021,2021-01-01,38.75,9.18,23.7,3.6,22.9
PC002,WindFlow Energy,Q2 2021,2021-04-01,40.41,9.57,23.7,5.89,22.97
PC002,WindFlow Energy,Q3 2021,2021-07-01,41.42,9.81,23.7,5.99,13.53
PC002,WindFlow Energy,Q4 2021,2021-10-01,38.79,9.19,23.7,5.15,16.13
PC002,WindFlow Energy,Q1 2022,2022-01-01,43.4,10.29,23.7,4.51,13.75
PC002,WindFlow Energy,Q2 2022,2022-04-01,41.22,9.77,23.7,6.01,14.77
PC002,WindFlow Energy,Q3 2022,2022-07-01,40.49,9.6,23.7,4.54,17.75
PC002,WindFlow Energy,Q4 2022,2022-10-01,42.33,10.03,23.7,5.86,23.09
PC002,WindFlow Energy,Q1 2023,2023-01-01,42.86,10.16,23.7,4.36,22.39
PC002,WindFlow Energy,Q2 2023,2023-04-01,44.26,10.49,23.7,4.26,15.37
